j,GM,Make,Model,Quantity,MarginalCost,Price,GPM,Weight,HP
71,0,Honda,Cr-V,206945,17.781603,23.09067,0.041202564,3480.965266,166
72,0,Honda,Element,30368,15.3223638,20.358182,0.04274492,3517.37039,166
73,0,Honda,Fit,65692,12.8974049,15.441561,0.029740974,2460.155255,109
74,0,Honda,Odyssey (U.S.),187071,25.0852428,27.872492,0.048809525,4487.229068,244
75,0,Honda,Pilot,111612,21.4501983,27.166887,0.052001745,4493.37186,244
76,0,Honda,Ridgeline,46197,23.9370678,26.596742,0.055555556,4518.025716,247
77,0,Honda,S2000,4630,25.5650327,29.516703,0.045454547,2855,237
78,0,Hyundai,Accent,43584,10.5395147,12.821683,0.031708714,2471.800064,110
79,0,Hyundai,Azera,23253,20.3791363,24.865707,0.045557119,3629,263
80,0,Hyundai,Elantra,81084,10.2643161,14.738129,0.032258064,2723,138
81,0,Hyundai,Entourage,26489,18.632634,24.03626,0.050000001,4400,242
82,0,Hyundai,Santa Fe,101988,17.4496911,22.721879,0.045960877,3908.967545,217.3714261
83,0,Hyundai,Sonata,121932,12.7939731,17.548859,0.039205398,3356.69816,196.4841961
84,0,Hyundai,Tiburon,13409,15.5138048,18.348672,0.042494085,2930.738683,153.6776792
85,0,Hyundai,Tucson,40044,18.2216017,19.135113,0.044155866,3398.820572,157.3010189
86,0,Infiniti,Fx,12307,36.0135613,38.903957,0.054268893,4243.613553,276.5320549
87,0,Infiniti,G35,59074,31.6788067,34.087563,0.046524476,3496.442496,303.9318482
88,0,Infiniti,M35,25648,36.6727012,42.969668,0.048736282,3975.593146,280
89,0,Infiniti,M45,4131,43.6473935,49.608215,0.050000001,4031,335
90,0,Infiniti,Qx56,5641,41.6469608,47.385512,0.06666667,5584.5,320
91,0,Isuzu,Ascender,2225,19.4050285,23.783365,0.055555556,4505.5,275
92,0,Isuzu,I290,3094,14.8331988,16.481332,0.047988638,3468,185
93,0,Isuzu,I370,655,18.2141602,22.460178,0.051649485,3886.333333,242
94,0,Jeep,Commander,53131,22.3995886,27.110654,0.05924464,4886.32083,235.3928027
95,0,Jeep,Compass,51848,16.1822969,19.091441,0.039459001,3249.8133,172
96,0,Jeep,Grand Cherokee,105615,22.5513566,26.168174,0.05721996,4486.999882,235.4600672
97,0,Jeep,Liberty,79773,14.9350839,19.927871,0.052631579,3956.843142,210
98,0,Jeep,Patriot,25511,18.6860368,19.651152,0.040565569,3210.25734,172
99,0,Jeep,Wrangler,87790,23.131909,24.59101,0.057050128,4003.917903,205
100,0,Kia,Amanti,4309,20.9872834,25.541426,0.047619049,3770,264
101,0,Kia,Optima,41062,11.9443416,16.604824,0.036441445,3197.324388,165.9024159
102,0,Kia,Rio,30594,12.8978461,13.219829,0.031034548,2374.887952,110
103,0,Kia,Rondo,28161,15.3937565,18.215285,0.042528689,3260.843685,167.2341891
104,0,Kia,Sedona,28680,17.8594305,23.177145,0.050000001,4365,250
105,0,Kia,Sorento,26595,15.9510084,21.056676,0.052631579,4289,262
106,0,Kia,Spectra,58098,10.9117969,14.346441,0.033591956,2919,138
107,0,Kia,Spectra5,5727,10.8430341,15.381149,0.033505749,2950,138
108,0,Kia,Sportage,40752,14.9145352,18.793928,0.044086065,3065.141564,156.1258834
109,0,Land Rover,Land Rover,22920,56.7906868,61.989652,0.063498944,5534.022906,320.9468586
110,0,Lexus,Lexus,351651,33.2162565,40.240285,0.043140654,3826.457226,272.0601619
111,0,Lincoln,Mark Lt,8178,33.9027399,37.669711,0.06666667,5455.5,300
112,0,Lincoln,Mkx,31394,31.2132707,35.792523,0.048971329,4319.5,257.5
113,0,Lincoln,Mkz,32297,26.4998826,29.444314,0.046233304,3496.348577,263
114,0,Lincoln,Navigator,17093,41.8942745,47.660305,0.070078798,6092,300
115,0,Lincoln,Navigator L,3912,46.4050036,50.450004,0.070156418,6092,300
116,0,Lincoln,Town Car,31036,29.8276531,35.364059,0.050000001,4430.602558,239
117,0,Mazda,3,102924,13.5465226,17.273914,0.035602335,2907.241091,151.6143174
